rollout/ep_rew_mean,rollout/success_rate,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,train/value_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/loss,train/entropy_loss,train/clip_range,phase,phase_learning_rate_start,phase_learning_rate_end
-2.38,0.0,380928,1588,186,239,256.0,0.0043846550954185,1850.0,0.0,0.0,0.0002052799999999,0.3703773617744446,-3.760214895009994e-09,0.005999497603625,-0.0001702389674392,0.2,1,0.0003,5e-05
-2.24,0.0,382976,1596,187,239,256.0,0.0752155905764084,1860.0,0.0,0.0,0.0002047679999999,0.5501148104667664,-1.9685830920934676e-08,0.0355957262217998,-0.0001926634120536,0.2,1,0.0003,5e-05
-2.18,0.0,385024,1605,188,239,256.0,0.0090040586035684,1870.0,-7.450581e-09,0.0,0.0002042559999999,0.421302855014801,-1.4144461601972582e-08,0.0052326889708638,-0.0001840441833337,0.2,1,0.0003,5e-05
-2.24,0.0,387072,1614,189,239,256.0,0.0097878082263378,1880.0,0.0,0.0,0.0002037439999999,0.807453989982605,9.313225746154783e-10,0.0015683399979025,-0.0001872133641882,0.2,1,0.0003,5e-05
-2.34,0.0,389120,1623,190,239,256.0,0.0360502446739701,1890.0,0.0,0.0,0.0002032319999999,0.5590099096298218,-1.327134668827057e-09,0.010978503152728,-0.0001924322248669,0.2,1,0.0003,5e-05
-2.38,0.0,391168,1632,191,239,256.0,0.0600643222969665,1900.0,0.0,0.0,0.0002027199999999,0.5999203324317932,1.0564690455794334e-08,0.0101993614807724,-0.0002007459306696,0.2,1,0.0003,5e-05
-2.3,0.0,393216,1641,192,239,256.0,0.0555185631252243,1910.0,0.0,0.0,0.0002022079999999,0.6939507126808167,1.331500243395567e-09,0.0268688518553972,-0.0001977055640963,0.2,1,0.0003,5e-05
-2.22,0.0,395264,1650,193,239,256.0,0.014923877910769,1920.0,0.0,0.0,0.0002016959999999,0.2509793639183044,-9.66247171163559e-10,0.0026464734692126,-0.0002012677192396,0.2,1,0.0003,5e-05
-2.32,0.0,397312,1659,194,239,256.0,0.0148575598290335,1930.0,0.0,0.0,0.0002011839999999,0.7258726358413696,-2.9685907065868376e-10,0.0041247480548918,-0.0002071789993351,0.2,1,0.0003,5e-05
-2.48,0.0,399360,1668,195,239,256.0,0.1007354487806878,1940.0,0.0,0.0,0.0002006719999999,0.4764464497566223,7.901689969003201e-10,0.0530514493584632,-0.0002113283844664,0.2,1,0.0003,5e-05
-2.7,0.0,401408,1676,196,239,256.0,0.0806132374535082,1950.0,0.0,0.0,0.0002001599999999,0.7535765171051025,-2.3865140974521635e-10,0.0246051624417305,-0.0002143716070349,0.2,1,0.0003,5e-05
-2.76,0.0,403456,1685,197,239,256.0,0.1073082369926851,1960.0,0.0,0.0,0.0001996479999999,0.7206915616989136,-1.1117663234472276e-09,0.0471881628036499,-0.0002179391256504,0.2,1,0.0003,5e-05
-2.94,0.0,405504,1695,198,239,256.0,0.0183195621997583,1970.0,0.0,0.0,0.0001991359999999,0.5529522895812988,-9.196810424327851e-10,0.0068972408771514,-0.000220692010771,0.2,1,0.0003,5e-05
-2.98,0.0,407552,1704,199,239,256.0,0.1367932361667044,1980.0,0.0,0.0,0.0001986239999999,0.433085024356842,-6.926711648702622e-10,0.0174344442784786,-0.000226777420903,0.2,1,0.0003,5e-05
-3.02,0.0,409600,1713,200,239,256.0,0.1358725824218709,1990.0,0.0,0.0,0.0001981119999999,0.5131623148918152,-2.3399479687213903e-09,0.1419940441846847,-0.0002532215687097,0.2,1,0.0003,5e-05
-2.96,0.0,411648,1722,201,238,256.0,0.0315082699136837,2000.0,0.0,0.0,0.0001975999999999,0.7282061576843262,-3.020977601408958e-09,0.0174752809107303,-0.000231630653252,0.2,1,0.0003,5e-05
-3.02,0.0,413696,1731,202,238,256.0,0.023934013316466,2010.0,0.0,0.0,0.0001970879999999,0.4808716177940368,7.217749953269959e-10,0.0054241842590272,-0.0002350547685637,0.2,1,0.0003,5e-05
-3.02,0.0,415744,1740,203,238,256.0,0.0347639024737873,2020.0,0.0,0.0,0.0001965759999999,0.7390244007110596,-1.5395926311612127e-09,0.0061768484301865,-0.0002399930310275,0.2,1,0.0003,5e-05
-3.1,0.0,417792,1749,204,238,256.0,0.0833857721663662,2030.0,0.0,0.0,0.0001960639999999,0.5887836813926697,-2.5262124836444854e-09,0.0692903250455856,-0.0002438248304315,0.2,1,0.0003,5e-05
-3.08,0.0,419840,1758,205,238,256.0,0.0245118299004388,2040.0,0.0,0.0,0.000195552,0.7593081593513489,-2.0387233234941963e-08,0.0153829334303736,-0.0002696958425076,0.2,1,0.0003,5e-05
-3.04,0.0,421888,1767,206,238,256.0,0.0068194558167306,2050.0,0.0,0.0,0.0001950399999999,0.3377185463905334,1.0023359209299089e-08,0.0054958825930953,-0.0002547540861996,0.2,1,0.0003,5e-05
-2.94,0.0,423936,1776,207,238,256.0,0.0299084866773228,2060.0,0.0,0.0,0.0001945279999999,0.6405418515205383,-2.0823790691792964e-09,0.0042047034949064,-0.0002663706985913,0.2,1,0.0003,5e-05
-2.66,0.0,425984,1785,208,238,256.0,0.0531422209678567,2070.0,0.0,0.0,0.0001940159999999,0.6469911336898804,-6.7404471337795264e-09,0.020211374387145,-0.0002803133727866,0.2,1,0.0003,5e-05
-2.62,0.0,428032,1794,209,238,256.0,0.0504624585431884,2080.0,0.0,0.0,0.000193504,0.6678455471992493,3.0762748792767526e-09,0.0362603440880775,-0.0002808609886415,0.2,1,0.0003,5e-05
