episode,r,l,is_success,dead_loop_events,wall_collision_count
271.0,-209.59999999999997,256.0,0.0,231.0,52.0
272.0,-202.6,256.0,0.0,182.0,58.0
273.0,-207.8,256.0,0.0,220.0,43.0
274.0,-215.6,256.0,0.0,230.0,40.0
275.0,-197.0,256.0,0.0,216.0,50.0
276.0,-218.00000000000003,256.0,0.0,221.0,46.0
277.0,-193.8,256.0,0.0,209.0,58.0
278.0,-199.2,256.0,0.0,224.0,53.0
279.0,-194.39999999999995,256.0,0.0,230.0,56.0
280.0,-209.8,256.0,0.0,216.0,47.0
281.0,-193.20000000000002,256.0,0.0,234.0,57.0
282.0,-201.00000000000006,256.0,0.0,215.0,49.0
283.0,-191.6,256.0,0.0,184.0,50.0
284.0,-198.60000000000002,256.0,0.0,204.0,55.0
285.0,-181.80000000000007,256.0,0.0,234.0,67.0
286.0,-207.8,256.0,0.0,234.0,47.0
287.0,-213.99999999999994,256.0,0.0,202.0,58.0
288.0,-171.8,256.0,0.0,222.0,83.0
289.0,-199.0,256.0,0.0,206.0,57.0
290.0,-213.39999999999995,256.0,0.0,221.0,50.0
291.0,-216.2,256.0,0.0,208.0,51.0
292.0,-206.0,256.0,0.0,221.0,53.0
293.0,-195.39999999999995,256.0,0.0,234.0,55.0
294.0,-224.99999999999997,256.0,0.0,214.0,56.0
295.0,-203.0,256.0,0.0,234.0,61.0
296.0,-205.60000000000002,256.0,0.0,234.0,54.0
297.0,-209.8,256.0,0.0,214.0,69.0
298.0,-202.0,256.0,0.0,206.0,45.0
299.0,-193.20000000000002,256.0,0.0,232.0,52.0
300.0,-192.0,256.0,0.0,234.0,72.0
301.0,-193.00000000000006,256.0,0.0,234.0,57.0
302.0,-187.40000000000003,256.0,0.0,234.0,65.0
303.0,-210.59999999999997,256.0,0.0,214.0,45.0
304.0,-200.8,256.0,0.0,213.0,62.0
305.0,-196.40000000000003,256.0,0.0,223.0,54.0
306.0,-191.80000000000004,256.0,0.0,234.0,66.0
307.0,-187.8,256.0,0.0,234.0,67.0
308.0,-208.0,256.0,0.0,234.0,46.0
309.0,-201.20000000000005,256.0,0.0,216.0,50.0
310.0,-208.20000000000002,256.0,0.0,222.0,41.0
311.0,-210.2,256.0,0.0,224.0,47.0
312.0,-215.4,256.0,0.0,201.0,54.0
313.0,-197.20000000000005,256.0,0.0,234.0,54.0
314.0,-189.4,256.0,0.0,234.0,63.0
315.0,-225.40000000000003,256.0,0.0,234.0,40.0
316.0,-184.60000000000005,256.0,0.0,231.0,65.0
317.0,-196.60000000000002,256.0,0.0,200.0,63.0
318.0,-224.39999999999998,256.0,0.0,234.0,36.0
319.0,-201.2,256.0,0.0,223.0,52.0
320.0,-213.20000000000002,256.0,0.0,228.0,45.0
321.0,-213.0,256.0,0.0,234.0,48.0
322.0,-211.20000000000002,256.0,0.0,234.0,48.0
323.0,-206.60000000000002,256.0,0.0,234.0,53.0
324.0,-218.0,256.0,0.0,208.0,46.0
325.0,-213.20000000000002,256.0,0.0,218.0,40.0
326.0,-216.20000000000005,256.0,0.0,191.0,30.0
327.0,-206.59999999999997,256.0,0.0,209.0,63.0
328.0,-188.59999999999997,256.0,0.0,213.0,55.0
329.0,-191.2,256.0,0.0,234.0,57.0
330.0,-199.4,256.0,0.0,234.0,53.0
331.0,-218.79999999999995,256.0,0.0,203.0,33.0
332.0,-181.00000000000003,256.0,0.0,234.0,67.0
333.0,-195.0,256.0,0.0,225.0,57.0
334.0,-174.2,256.0,0.0,234.0,70.0
335.0,-190.60000000000005,256.0,0.0,210.0,69.0
336.0,-181.8,256.0,0.0,234.0,72.0
337.0,-226.79999999999995,256.0,0.0,215.0,39.0
338.0,-204.0,256.0,0.0,207.0,47.0
339.0,-216.0,256.0,0.0,228.0,42.0
340.0,-213.20000000000002,256.0,0.0,200.0,40.0
