time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,time/fps,time/iterations,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,phase,phase_learning_rate_start,phase_learning_rate_end
1115,256.0,296960,0.0,-2.48,266,145,0.0,0.0503263279089878,-5.817379883410467e-05,0.2,0.0834091305732727,0.0,0.0022951625287532,2.1548476070165633e-08,0.0002262719999999,1440.0,1,0.0003,5e-05
1122,256.0,299008,0.0,-2.34,266,146,0.0,0.090340617300535,-5.886432336410507e-05,0.2,0.2720828056335449,0.0,0.0420932136476039,-1.935986801981926e-08,0.0002257599999999,1450.0,1,0.0003,5e-05
1129,256.0,301056,0.0,-2.3,266,147,0.0,0.0365719062687276,-5.932211802246456e-05,0.2,0.0721015930175781,0.0,0.0488479100167751,8.498318493366241e-09,0.0002252479999999,1460.0,1,0.0003,5e-05
1136,256.0,303104,0.0,-2.38,266,148,0.0,0.0205198454295896,-5.948150642325345e-05,0.2,0.2761499285697937,0.0,0.0020166290923953,-2.0954757928848267e-10,0.0002247359999999,1470.0,1,0.0003,5e-05
1144,256.0,305152,0.0,-2.52,266,149,0.0,0.1258357740429346,-5.990129639030783e-05,0.2,0.0249768495559692,0.0,0.0483200550079345,6.868503987789153e-10,0.0002242239999999,1480.0,1,0.0003,5e-05
1151,256.0,307200,0.0,-2.5,266,150,0.0,0.123213149725052,-6.003019566378498e-05,0.2,0.0224697589874267,0.0,0.0556157641112804,2.258457243442535e-09,0.0002237119999999,1490.0,1,0.0003,5e-05
1158,256.0,309248,0.0,-2.42,266,151,0.0,0.0405002080073245,-6.075400556255772e-05,0.2,0.7261398434638977,0.0,0.016623081639409,3.527384251356125e-09,0.0002231999999999,1500.0,1,0.0003,5e-05
1165,256.0,311296,0.0,-2.46,267,152,0.0,0.0323376028894927,-6.083884454710642e-05,0.2,0.7007460594177246,0.0,0.0037518865428864,-1.9033905118703844e-09,0.0002226879999999,1510.0,1,0.0003,5e-05
1172,256.0,313344,0.0,-2.66,267,153,0.0,0.1925111316260881,-6.116634435784362e-05,0.2,0.2243042588233947,0.0,0.0054474733769893,-1.1816155165433882e-09,0.0002221759999999,1520.0,1,0.0003,5e-05
1180,256.0,315392,0.0,-2.6,267,154,0.0,0.1983773354790173,-6.133529414000804e-05,0.2,0.1540036797523498,0.0,0.0826638266444206,-5.587935447692871e-10,0.0002216639999999,1530.0,1,0.0003,5e-05
