time/total_timesteps,train/loss,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/n_updates,phase
647168,0.0008140038698911,-7.334165275096893e-09,0.0303088667395513,-0.0001212515821862,3150.0,1
649216,0.000307928508846,-2.840533852577209e-09,0.0011596542582083,-0.0001164980644716,3160.0,1
651264,0.0007519316859543,-6.478512659668922e-09,0.0755581410197919,-0.00011746496275,3170.0,1
653312,0.0845094844698906,8.859205991029739e-09,0.207157188290148,-0.0001163480347713,3180.0,1
655360,0.0014567864127457,-2.1158484742045403e-09,0.0616327521147468,-0.0001204492928991,3190.0,1
657408,0.0900596529245376,-1.6763806343078612e-09,0.0710869189269033,-0.0001213179656588,3200.0,1
659456,0.0802885890007019,-1.0954681783914564e-08,0.3006718083481246,-0.0001205086011395,3210.0,1
661504,0.1133326441049575,-1.4918623492121697e-08,0.3785929552585003,-0.0001211443182,3220.0,1
663552,0.1362491697072982,-1.327134668827057e-09,0.1455118475780182,-0.000121890437822,3230.0,1
665600,0.0006090654642321,-1.935404725372791e-09,0.2883900798457034,-0.0001258747650354,3240.0,1
667648,0.0415969900786876,1.9150320440530776e-09,0.1678328528832935,-0.0001251497757039,3250.0,1
669696,3.306095823063515e-05,-6.909249350428581e-09,0.0037994820243511,-0.0001241837282577,3260.0,1
671744,0.0690631493926048,6.4319465309381485e-09,0.2405449660916929,-0.0001294696990953,3270.0,1
673792,0.093010127544403,-2.1135201677680017e-08,0.1008095573643004,-0.000128378340014,3280.0,1
675840,0.1095099449157714,-2.2933818399906158e-09,0.0794552223473147,-0.0001287353157749,3290.0,1
677888,0.0781319811940193,-3.702007234096527e-09,0.1463162644140538,-0.0001267087491214,3300.0,1
679936,0.5438274145126343,3.4924596548080444e-10,0.4648205511737615,-0.0001289540861762,3310.0,1
681984,0.0641219690442085,-8.614733815193177e-10,0.1987732326611876,-0.0001294168403546,3320.0,1
684032,0.1466376632452011,5.820766091346741e-11,0.469625136378454,-0.000125837975429,3330.0,1
686080,1.081981539726257,-4.703179001808166e-09,0.9604455528984543,-0.0001325277260548,3340.0,1
688128,0.0002362603991059,8.498318493366241e-09,0.0027308925758461,-0.0001328559814282,3350.0,1
690176,0.0003261308302171,2.0256265997886656e-09,0.021253612682085,-0.0001314098291913,3360.0,1
692224,0.1150193288922309,-2.2846506908535957e-08,0.1919946106994757,-0.0001576801741975,3370.0,1
694272,0.2388566732406616,-6.752088665962218e-10,0.4308278703640099,-0.0001462925527448,3380.0,1
696320,0.001729171606712,-1.4877878129482269e-08,0.0524115113221341,-0.0001332053738224,3390.0,1
698368,0.1204522028565406,-3.6199344322085386e-08,0.034506438102835,-0.0001323102418609,3400.0,1
700416,0.2388044595718383,-4.3417094275355344e-08,0.4794600905850529,-0.0001381766585836,3410.0,1
702464,0.1146186143159866,1.5448313206434252e-08,0.2284080659315805,-0.0001488962730945,3420.0,1
704512,0.0011309202527627,-7.966591510921717e-08,0.0587403918285417,-0.0001562688134072,3430.0,1
706560,0.0066494108177721,-2.6635825634002687e-08,0.1066141692730525,-0.0001415358525264,3440.0,1
708608,0.1207454279065132,4.3993350118398664e-08,0.1083419751681503,-0.0001435117965229,3450.0,1
710656,0.0671257376670837,-0.0002596152829937,0.324980030459119,-0.0001073345523764,3460.0,1
712704,0.1563700437545776,-1.4522811397910118e-08,0.0807022856738512,-0.0001082591156773,3470.0,1
714752,0.1721078306436538,-1.1402880772948264e-08,0.1977066322957398,-0.0001057988655702,3480.0,1
716800,0.0034725025761872,6.5716449171304714e-09,0.0069541833053335,-9.648517061577876e-05,3490.0,1
718848,0.0778504982590675,-8.509960025548936e-08,0.0985164170790085,-0.0001140690173997,3500.0,1
720896,0.134413793683052,-1.8626451492309571e-10,0.2929359102796297,-9.85261133791937e-05,3510.0,1
722944,0.0012690756702795,-1.298030838370323e-09,0.1768569521114841,-9.92304643659736e-05,3520.0,1
724992,0.000945990672335,8.847564458847044e-10,0.0017609895334317,-9.696955003164476e-05,3530.0,1
727040,0.0008017286309041,-4.2596366256475446e-08,0.1894762529307627,-9.726263206175644e-05,3540.0,1
729088,0.0005586978513747,-1.664739102125168e-09,0.0814360029995441,-9.842684876275598e-05,3550.0,1
731136,4.488901140575763e-06,2.7925125323235992e-08,0.029186184044363,-0.0001083933733752,3560.0,1
733184,0.0984871163964271,-1.0628718882799148e-08,0.2024021453675231,-0.0001068439539267,3570.0,1
735232,0.0001970429730135,-5.9517333284020424e-08,0.044096777562845,-0.0001119060922974,3580.0,1
737280,0.000373658753233,-1.3166572898626329e-08,0.1327259100311494,-0.0001006367496302,3590.0,1
