rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/success_rate,time/iterations,train/explained_variance,train/clip_range,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/loss,phase,phase_learning_rate_start,phase_learning_rate_end
-1.132,256,692224,2703,256.0,0.0,338,0.095672070980072,0.2,0.000127456,-0.0001357819357508,0.2249102819856489,0.0,0.0,-7.566995918750763e-11,3370.0,0.0224245470017194,1,0.0003,5e-05
-1.232,256,694272,2710,256.0,0.0,339,0.6916722059249878,0.2,0.000126944,-0.0001315116640398,0.2245055243271053,0.0,0.0,-1.0477378964424131e-09,3380.0,0.0012278415961191,1,0.0003,5e-05
-1.2960000000000005,256,696320,2717,256.0,0.0,340,0.861478328704834,0.2,0.000126432,-0.0001372087512208,0.0316854397948191,0.0,0.0,4.231696948409081e-09,3390.0,0.0027266351971775,1,0.0003,5e-05
-1.362,256,698368,2724,256.0,0.0,341,0.1957720518112182,0.2,0.00012592,-0.0001401996818458,0.1637555678778881,0.0,0.0,4.656612873077393e-10,3400.0,0.1101716086268425,1,0.0003,5e-05
-1.1760000000000002,256,700416,2731,256.0,0.0,342,0.9055450558662416,0.2,0.000125408,-0.0001351559019894,0.0730412378557957,0.0,0.0,-1.0472722351551057e-07,3410.0,0.0016770068323239,1,0.0003,5e-05
-1.29,256,702464,2738,256.0,0.0,343,-0.0050380229949951,0.2,0.000124896,-0.0001453712033253,0.1504162776007433,0.0,0.0,-6.752088665962218e-10,3420.0,0.0134914806112647,1,0.0003,5e-05
-1.2780000000000002,256,704512,2746,256.0,0.0,344,0.3646664619445801,0.2,0.0001243839999999,-0.0001437462487956,0.6638188704382628,0.0,0.0,5.820766091346741e-11,3430.0,0.1587187647819519,1,0.0003,5e-05
-1.5339999999999998,256,706560,2753,256.0,0.0,345,0.7153827548027039,0.2,0.0001238719999999,-0.0001451292091587,0.0353663006888382,0.0,0.0,4.307366907596588e-10,3440.0,0.0045111705549061,1,0.0003,5e-05
-1.6000000000000003,256,708608,2760,256.0,0.0,346,0.0089222192764282,0.2,0.0001233599999999,-0.0001484021027863,0.8153849385504145,0.0,0.0,-3.0617229640483853e-09,3450.0,0.4132701456546783,1,0.0003,5e-05
-1.5800000000000003,256,710656,2767,256.0,0.0,347,0.7891230583190918,0.2,0.0001228479999999,-0.0001486600451244,0.0567081579138175,0.0,0.0,-1.705484464764595e-09,3460.0,0.0010992498137056,1,0.0003,5e-05
