time/total_timesteps,train/value_loss,train/n_updates,train/policy_gradient_loss,train/loss,train/entropy_loss,phase
483328,0.0380954465916147,2350.0,-2.637389115989208e-07,0.0275994651019573,-0.0003675066800497,1
485376,0.0192834279354428,2360.0,1.3809767551720143e-09,0.0311321429908275,-0.000354038948717,1
487424,0.0702388282319589,2370.0,-5.523907020688057e-09,0.01283994410187,-0.0003746091297216,1
489472,0.0254060073239088,2380.0,3.805325832217932e-09,0.0126251662150025,-0.0003687774384161,1
491520,0.08691587804351,2390.0,-6.350455805659294e-09,0.0453865677118301,-0.0003775824534386,1
493568,0.0987547693499436,2400.0,3.917375579476356e-09,0.087085336446762,-0.000378665698372,1
495616,0.0193967515180702,2410.0,-1.4161923900246621e-08,0.012244064360857,-0.0003871684551995,1
497664,0.012852453150117,2420.0,1.1583324521780011e-09,0.0074221831746399,-0.0003994585360487,1
499712,0.0165108221415721,2430.0,-3.201421350240707e-10,0.0052536111325025,-0.0004172755292529,1
501760,0.0121724929695119,2440.0,1.353328116238117e-10,0.0211694799363613,-0.0004338919177826,1
503808,0.0558008366064314,2450.0,-1.3475073501467702e-09,0.0851191729307174,-0.0004488870366913,1
505856,0.037228716930258,2460.0,8.440110832452774e-11,0.016274120658636,-0.000460537895924,1
507904,0.0142638053359405,2470.0,-1.3096723705530167e-09,0.0077445530332624,-0.0004762491858855,1
509952,0.0141552123383007,2480.0,-3.5826815292239196e-08,0.0075207236222922,-0.0005121636524563,1
512000,0.0382053757639369,2490.0,1.7462298274040218e-11,0.0035516272764652,-0.0005273009963275,1
514048,0.041394008770294,2500.0,-4.435059963725507e-09,0.0484983660280704,-0.0005466646631248,1
516096,0.00790117759243,2510.0,1.0360963642597199e-09,0.0032696111593395,-0.0005758469407737,1
518144,0.027941945681232,2520.0,-0.0007145080016925,0.0125387199223041,-0.0003884645739162,1
520192,0.033913156230119,2530.0,-1.2805685400962831e-08,0.0044055460020899,-0.0003546402076608,1
522240,0.0341555525257717,2540.0,-0.0004910857474897,0.016967674717307,-0.0002975530838739,1
524288,0.0294465123189183,2550.0,2.3137545213103295e-10,0.0465536043047905,-0.0002868536339519,1
526336,0.0320063047638541,2560.0,-1.7025740817189215e-09,0.0003426583134569,-0.0002955864354589,1
528384,0.1202979773283004,2570.0,-7.105991244316101e-07,0.07947888225317,-0.0003616528843849,1
530432,0.1833055148599669,2580.0,1.3154931366443635e-09,0.0987875759601593,-0.000290618953295,1
532480,0.0373087129606574,2590.0,-5.295732989907264e-08,0.0065787588246166,-0.0002958169341582,1
534528,0.0063133666992143,2600.0,2.801243681460619e-09,0.006216527428478,-0.0002934966389148,1
536576,0.0439881036290898,2610.0,2.523302100598812e-09,0.0057843970134854,-0.0002970841247588,1
538624,0.0138735106633248,2620.0,9.14878910407424e-09,0.0010640788823366,-0.0002991353409015,1
540672,0.0109698810436384,2630.0,6.557093001902104e-09,0.0082428529858589,-0.0003021503129275,1
542720,0.0527774224770837,2640.0,-1.184933353215456e-07,0.0208861418068408,-0.0003101222107943,1
544768,0.0525988338515162,2650.0,2.846354618668556e-09,0.0801976770162582,-0.0003058990969293,1
546816,0.0263252450271465,2660.0,-1.868465915322304e-09,0.0212359596043825,-0.000307200500174,1
548864,0.0206352609242458,2670.0,-3.527384251356125e-09,0.0152602596208453,-0.0003092138871579,1
550912,0.031648340909669,2680.0,-2.482556737959385e-09,0.01887041144073,-0.0003117042055237,1
552960,0.0132770215282107,2690.0,-1.0884832590818403e-09,0.0001666735915932,-0.0003146521790768,1
555008,0.0163527331773366,2700.0,3.931927494704723e-09,0.0038393524009734,-0.0003181346550263,1
557056,0.0822766883997246,2710.0,-2.130400389432907e-09,0.0158514510840177,-0.0003221830640541,1
559104,0.0251278546646062,2720.0,-3.9028236642479895e-09,0.0070212050341069,-0.000322737951501,1
561152,0.0475769885597401,2730.0,3.4342519938945767e-10,0.0331330522894859,-0.0003272259244113,1
563200,0.046728268796869,2740.0,-1.7833372112363574e-09,0.0375971570611,-0.0003271996301918,1
565248,0.0245747201508493,2750.0,7.328344509005547e-09,0.0154716474935412,-0.0003318816921819,1
567296,0.0312375315304961,2760.0,-1.5451223589479926e-08,0.0121775511652231,-0.0003508257010253,1
569344,0.0915007045958191,2770.0,1.0710209608078e-09,0.0565655305981636,-0.0003347361231135,1
571392,0.0343646800007263,2780.0,-5.349284037947655e-09,0.0102241365239024,-0.0003372355262399,1
573440,0.0092459047942611,2790.0,7.159542292356492e-10,0.0002236618893221,-0.0003433606645558,1
575488,0.0272741104348824,2800.0,1.234002411365509e-09,0.0038035635370761,-0.0003484860779281,1
577536,0.0890961090772179,2810.0,-4.831235855817794e-10,0.052497025579214,-0.0003527490534906,1
579584,0.0475823799257341,2820.0,-1.4901161193847655e-09,0.0219242200255393,-0.0003569171298295,1
581632,0.0804379271925427,2830.0,-5.5297277867794034e-11,0.0298143047839403,-0.0003567690957424,1
583680,0.0539016974085825,2840.0,-1.1292286217212674e-09,0.0358396060764789,-0.0003589950491004,1
585728,0.0133564356314309,2850.0,7.178459782153368e-09,0.0022165623959153,-0.0003632730626122,1
587776,0.0194745648022944,2860.0,-1.525040715932846e-09,0.0008361908840015,-0.00036869604628,1
589824,0.0114634806460117,2870.0,-9.255018085241317e-10,0.0051586735062301,-0.0003744903118786,1
591872,0.0250609791291935,2880.0,-1.682201400399208e-09,0.0019939325284212,-0.0003804096562816,1
593920,0.0475883871228688,2890.0,-5.296897143125534e-09,0.0180289708077907,-0.0003871750188409,1
595968,0.2380896080983802,2900.0,-0.0008679084246978,0.0476668179035186,-0.0002801017297315,1
598016,0.0816657236369792,2910.0,6.170012056827544e-10,0.057732805609703,-0.0002525848623918,1
