rollout/ep_len_mean,time/total_timesteps,rollout/success_rate,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/loss,train/policy_gradient_loss,train/value_loss,train/clip_range,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,train/learning_rate,train/clip_fraction,phase,phase_learning_rate_start,phase_learning_rate_end
256.0,628736,0.0,307,2619,-2.84,240,0.0176576264202594,9.121140465140342e-09,0.0159307980567973,0.2,3060.0,-0.0001475179751651,0.0,0.6205345988273621,0.0001433279999999,0.0,1,0.0003,5e-05
256.0,630784,0.0,308,2627,-2.84,240,0.0249766409397125,-4.461253411136567e-09,0.0452352931984933,0.2,3070.0,-0.0001476939285566,0.0,0.7060050368309021,0.0001428159999999,0.0,1,0.0003,5e-05
256.0,632832,0.0,309,2635,-3.12,240,0.0488202609121799,1.367880031466484e-09,0.0644124270082102,0.2,3080.0,-0.0001551557959828,0.0,0.5212140679359436,0.0001423039999999,0.0,1,0.0003,5e-05
256.0,634880,0.0,310,2644,-2.94,240,0.0419206954538822,-1.454027369618416e-08,0.0661047690897248,0.2,3090.0,-0.0001546548521218,0.0,0.7178187370300293,0.000141792,0.0,1,0.0003,5e-05
256.0,636928,0.0,311,2652,-2.8,240,0.0409970358014106,4.391768015921116e-09,0.0876409530406817,0.2,3100.0,-0.0001552882264149,0.0,0.5975713729858398,0.0001412799999999,0.0,1,0.0003,5e-05
256.0,638976,0.0,312,2660,-2.94,240,0.0082611255347728,9.363429853692651e-09,0.0248500193974905,0.2,3110.0,-0.0001566094022564,0.0,0.2706827521324157,0.0001407679999999,0.0,1,0.0003,5e-05
256.0,641024,0.0,313,2669,-2.94,240,0.0089363036677241,3.4400727599859243e-09,0.0406184640829451,0.2,3120.0,-0.0001610360961421,0.0,0.4964909553527832,0.0001402559999999,0.0,1,0.0003,5e-05
256.0,643072,0.0,314,2677,-2.9,240,0.0284882467240095,-1.0841176845133305e-08,0.027492320265992,0.2,3130.0,-0.0001680918383499,0.0,0.6673060655593872,0.0001397439999999,0.0,1,0.0003,5e-05
256.0,645120,0.0,315,2685,-2.76,240,0.0011260509490966,4.202593117952347e-09,0.0169320723706732,0.2,3140.0,-0.0001709347528958,0.0,0.7665634155273438,0.0001392319999999,0.0,1,0.0003,5e-05
256.0,647168,0.0,316,2694,-2.74,240,0.0004985235282219,-2.486049197614193e-08,0.0227241040674925,0.2,3150.0,-0.0001718776738925,0.0,0.6005606651306152,0.0001387199999999,0.0,1,0.0003,5e-05
256.0,649216,0.0,317,2702,-2.76,240,1.57305858010659e-05,-2.518936526030302e-09,0.0167936489900057,0.2,3160.0,-0.0001769822245478,0.0,0.692058265209198,0.000138208,0.0,1,0.0003,5e-05
256.0,651264,0.0,318,2711,-2.74,240,0.0182362627238035,-6.5367203205823905e-09,0.0612585044102161,0.2,3170.0,-0.0001824022816435,0.0,0.5787037014961243,0.0001376959999999,0.0,1,0.0003,5e-05
256.0,653312,0.0,319,2719,-2.54,240,0.0041419458575546,-9.080395102500915e-10,0.0161880391926388,0.2,3180.0,-0.000186867843513,0.0,0.6615262031555176,0.000137184,0.0,1,0.0003,5e-05
256.0,655360,0.0,320,2727,-2.54,240,0.0002465950383339,3.766035661101341e-09,0.0031174319008641,0.2,3190.0,-0.0001954966888661,-2.7474016e-08,-0.4644557237625122,0.0001366719999999,0.0,1,0.0003,5e-05
256.0,657408,0.0,321,2736,-2.42,240,0.038205187767744,-2.0721927285194398e-09,0.062676102622936,0.2,3200.0,-0.0002057864679954,0.0,0.202764630317688,0.0001361599999999,0.0,1,0.0003,5e-05
256.0,659456,0.0,322,2745,-2.5,240,0.0081241009756922,2.6775524020195005e-10,0.0162476231183973,0.2,3210.0,-0.0002148652636606,0.0,-0.3733836412429809,0.0001356479999999,0.0,1,0.0003,5e-05
256.0,661504,0.0,323,2753,-2.44,240,0.0439956039190292,5.704350769519806e-09,0.1359862725483253,0.2,3220.0,-0.0002209461532402,0.0,0.380759596824646,0.0001351359999999,0.0,1,0.0003,5e-05
256.0,663552,0.0,324,2761,-2.58,240,0.0297281090170145,6.01867213845253e-09,0.0620745805555998,0.2,3230.0,-0.0002249412165838,0.0,0.5190887451171875,0.000134624,0.0,1,0.0003,5e-05
256.0,665600,0.0,325,2770,-2.58,240,0.0858540907502174,3.562308847904205e-09,0.1461842885706573,0.2,3240.0,-0.0002317821184988,0.0,0.6603021621704102,0.0001341119999999,0.0,1,0.0003,5e-05
256.0,667648,0.0,326,2778,-2.6,240,0.0510627701878547,-8.381903171539307e-09,0.0635107473266543,0.2,3250.0,-0.0002332036801817,0.0,0.5606117844581604,0.0001336,0.0,1,0.0003,5e-05
256.0,669696,0.0,327,2786,-2.7,240,0.0019344589672982,4.377216100692749e-09,0.0326000253662641,0.2,3260.0,-0.0002371010619754,0.0,0.6557446718215942,0.0001330879999999,0.0,1,0.0003,5e-05
256.0,671744,0.0,328,2794,-2.72,240,0.0413612760603427,-3.0850060284137725e-10,0.1191641352197621,0.2,3270.0,-0.0002472719403158,0.0,0.6012821793556213,0.000132576,0.0,1,0.0003,5e-05
256.0,673792,0.0,329,2803,-2.75,240,0.003705762559548,2.39233486354351e-09,0.0149395190888753,0.2,3280.0,-0.0002480286255376,0.0,0.4953764677047729,0.000132064,0.0,1,0.0003,5e-05
256.0,675840,0.0,330,2811,-2.69,240,0.0027422478888183,-0.0006921407068148,0.0178267079871147,0.2,3290.0,-0.0001679379360211,0.0001171871,0.7127935886383057,0.000131552,0.000390625,1,0.0003,5e-05
256.0,677888,0.0,331,2820,-2.75,240,0.0066987220197916,1.9252183847129347e-09,0.0537028172759164,0.2,3300.0,-0.0001445997186237,0.0,0.6529937386512756,0.00013104,0.0,1,0.0003,5e-05
256.0,679936,0.0,332,2828,-2.79,240,0.0121257761493325,2.3283064365386964e-11,0.0288959688041359,0.2,3310.0,-0.0001457037682484,0.0,0.6608753204345703,0.0001305279999999,0.0,1,0.0003,5e-05
