time/time_elapsed,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/learning_rate,train/loss,rollout/success_rate,time/fps,phase,phase_learning_rate,phase_buffer_size
29,64,16333,0.6896730000000003,255.203125,4058,-177.64999999999998,2e-05,0.0454242527484893,0.03125,547,4,1.9999999999999998e-05,50000
31,68,17357,0.6702169999999998,255.25,4314,-176.9941176470588,2e-05,0.0206881985068321,0.0294117647058823,545,4,1.9999999999999998e-05,50000
33,72,18381,0.6507609999999999,255.29166666666663,4570,-175.49444444444444,2e-05,0.0150733925402164,0.0277777777777777,543,4,1.9999999999999998e-05,50000
35,76,19405,0.631305,255.32894736842104,4826,-174.03157894736842,2e-05,0.0190127082169055,0.0263157894736842,541,4,1.9999999999999998e-05,50000
37,80,20429,0.611849,255.3625,5082,-173.1725,2e-05,0.0160685423761606,0.025,539,4,1.9999999999999998e-05,50000
39,84,21453,0.5923930000000001,255.3928571428571,5338,-172.09999999999997,2e-05,0.042952187359333,0.0238095238095238,537,4,1.9999999999999998e-05,50000
41,88,22477,0.572937,255.42045454545453,5594,-170.37727272727273,2e-05,0.0412146970629692,0.0227272727272727,535,4,1.9999999999999998e-05,50000
44,92,23501,0.5534810000000001,255.44565217391303,5850,-168.69347826086957,2e-05,0.0471363291144371,0.0217391304347826,533,4,1.9999999999999998e-05,50000
46,96,24525,0.5340250000000002,255.46875,6106,-166.81666666666666,2e-05,0.0437585525214672,0.0208333333333333,531,4,1.9999999999999998e-05,50000
48,100,25549,0.5145690000000003,255.49,6362,-164.642,2e-05,0.0404186621308326,0.02,529,4,1.9999999999999998e-05,50000
50,104,26573,0.4951129999999998,255.49,6618,-161.112,2e-05,0.0434349775314331,0.02,527,4,1.9999999999999998e-05,50000
52,108,27597,0.4756569999999999,255.49,6874,-157.702,2e-05,0.0152986915782094,0.02,525,4,1.9999999999999998e-05,50000
