time/total_timesteps,train/value_loss,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/loss,phase
249856,0.0839771300414213,1210.0,9.895302355289459e-11,-7.38354505301686e-05,0.0006160440389066,1
251904,0.1187628720479551,1220.0,7.799826562404633e-10,-7.357941622103681e-05,0.1044690683484077,1
253952,0.027506770107243,1230.0,5.238689482212067e-10,-7.457780830009142e-05,1.6141775631695054e-05,1
256000,0.0020998108512685,1240.0,-4.074536263942718e-10,-7.48572088923538e-05,0.0011074868962168,1
258048,0.5292621723623597,1250.0,-8.672941476106643e-10,-7.464366863132454e-05,0.1134695410728454,1
260096,0.1113671417057048,1260.0,3.9581209421157836e-10,-7.495051413570763e-05,0.0027715126052498,1
262144,0.0556438390867697,1270.0,-4.202593117952347e-09,-7.53388335397176e-05,0.0002457915106788,1
264192,0.2203780636715237,1280.0,-1.1990778148174287e-09,-7.643359076610068e-05,0.2614613771438598,1
266240,0.0022665319755105,1290.0,-1.8774881027638913e-08,-7.508878597946022e-05,0.0008569447672925,1
268288,0.1931901393720181,1300.0,6.420304998755455e-09,-7.55156836930837e-05,0.1509242951869964,1
270336,0.3197350943537458,1310.0,-1.1408701539039612e-08,-7.656469861103688e-05,0.0004869057738687,1
272384,0.0057699337118265,1320.0,-1.0808580555021765e-07,-8.428984210695489e-05,3.4871569368988276e-05,1
274432,0.1610317249957006,1330.0,1.9255094230175022e-08,-7.6815398006147e-05,0.2397944182157516,1
276480,0.0080134614145208,1340.0,-1.6298145055770872e-09,-7.726107542112004e-05,0.0003552477573975,1
278528,0.0030484578791401,1350.0,-6.228219717741011e-10,-7.8094558466546e-05,0.0013646028237417,1
280576,0.1332074578102037,1360.0,1.705484464764595e-09,-7.920613370515639e-05,0.1033650562167167,1
282624,0.0268988054296642,1370.0,-3.201421350240707e-09,-7.961199580677202e-05,0.1030293181538581,1
284672,0.132275584834133,1380.0,-3.073364496231079e-09,-7.878031383370398e-05,0.0044987224973738,1
286720,0.0324685726984171,1390.0,-3.562308847904205e-09,-7.933595034046448e-05,0.0006121583865024,1
288768,0.4330832184889004,1400.0,-3.527384251356125e-09,-8.020057448447915e-05,0.4324719905853271,1
290816,0.6050692082964815,1410.0,-6.170012056827544e-10,-8.047571336646797e-05,0.5144757628440857,1
292864,0.0765077857198775,1420.0,4.365574568510055e-10,-8.059127303567948e-05,0.0004838569730054,1
294912,0.2082198956952197,1430.0,6.984919309616089e-11,-8.512756530763e-05,0.221118614077568,1
296960,0.1154847526071534,1440.0,-1.4493707567453384e-09,-8.100853492578607e-05,0.0011877027573063,1
299008,0.1303244900038407,1450.0,-4.703179001808166e-09,-8.359740368177882e-05,0.0010307506890967,1
301056,0.0307075029350016,1460.0,-1.0139774531126022e-08,-8.293962955576716e-05,0.1172432899475097,1
303104,0.0023380562131933,1470.0,7.974449545145033e-10,-8.294865065181512e-05,0.0002013104676734,1
305152,0.2239487069484312,1480.0,1.298030838370323e-09,-8.336752871400677e-05,0.1022664085030555,1
307200,0.051003946687706,1490.0,-1.4959368854761123e-09,-8.388829064642778e-05,0.1009722650051117,1
309248,0.0262421419877682,1500.0,-8.021015673875811e-09,-8.893833328329492e-05,0.0006692358292639,1
311296,0.0838123962243116,1510.0,-7.136259227991104e-09,-8.69814052748552e-05,0.0007007448584772,1
313344,0.1459704513152246,1520.0,-1.931330189108849e-08,-9.151248323178152e-05,0.0008730547269806,1
315392,0.2907697748800274,1530.0,-2.4447217583656307e-10,-9.050972057593754e-05,0.1840250194072723,1
317440,0.0933088315941859,1540.0,3.707828000187874e-09,-8.854782035996322e-05,0.0009525654604658,1
319488,0.0314150119422265,1550.0,3.8457801565527925e-08,-9.272012139263097e-05,0.0002257373853353,1
321536,0.1292442465659405,1560.0,-2.548040356487036e-08,-9.754578859428876e-05,0.0026633816305547,1
323584,0.0677402371344214,1570.0,-1.7572892829775812e-08,-9.480317412453588e-05,0.0002317167381988,1
325632,0.0388637240132084,1580.0,3.0617229640483853e-09,-9.438587912882212e-05,0.0064848251640796,1
327680,0.0667352325079264,1590.0,2.689193934202194e-09,-9.643614484957652e-05,0.0030529061332345,1
329728,0.2011900256125955,1600.0,-3.332388587296009e-08,-9.767293367985984e-05,0.0925920605659484,1
331776,0.0057427796789852,1610.0,7.11705069988966e-08,-0.0001021343718093,0.0079014617949724,1
333824,0.0266575643199757,1620.0,3.864988684654236e-09,-0.0001048944260219,0.0002577207633294,1
335872,0.0915352076293856,1630.0,-5.413312464952468e-10,-0.00011216081175,0.0197048317641019,1
337920,0.0018960707789631,1640.0,-9.156065061688424e-09,-0.0001137657191065,8.459753735223785e-05,1
339968,0.0927498742908937,1650.0,-7.920607458800077e-09,-0.0001083538158127,0.0614818707108497,1
342016,0.1663566447503399,1660.0,2.283195499330759e-09,-0.0001106900821469,0.2557127177715301,1
344064,0.2844292880618013,1670.0,-2.351589500904083e-09,-0.0001114412280912,0.1586517989635467,1
346112,0.0153286536995437,1680.0,-4.455214366316795e-08,-0.0001116557445129,0.0065447147935628,1
348160,0.4676305069151567,1690.0,2.3283064365386963e-10,-0.0001119837182159,0.3292196989059448,1
350208,0.1621128336701076,1700.0,-2.0064180716872218e-08,-0.0001183816955744,0.0054723205976188,1
352256,0.2832472086840426,1710.0,-2.9627699404954914e-08,-0.0001156160070422,0.2656120359897613,1
354304,0.0077260239821043,1720.0,-2.1688174456357957e-08,-0.00013577394202,0.0018969688098877,1
356352,0.0100074728645267,1730.0,-5.073961801826954e-08,-0.0001186121921818,0.002082613762468,1
358400,0.019319480935519,1740.0,-5.7189026847481734e-08,-0.0001309204470089,0.0616950839757919,1
360448,0.1336097968909598,1750.0,-2.689193934202194e-09,-0.0001340200406048,0.0410663150250911,1
362496,0.2358886345202336,1760.0,-3.594905138015747e-08,-0.0001377772430714,0.0315081104636192,1
364544,0.075217713980237,1770.0,-1.266016624867916e-08,-0.0001344221711406,0.0029117909725755,1
366592,0.0972992921324475,1780.0,5.634501576423645e-09,-0.000134820121093,0.0993916243314743,1
368640,0.2029618496308103,1790.0,-1.3801036402583122e-08,-0.000138639927718,0.2107622176408767,1
370688,0.2695877869555261,1800.0,-6.903428584337234e-09,-0.0001408116071615,0.1609382480382919,1
372736,0.511261776421452,1810.0,-1.9348226487636565e-08,-0.0001471779492931,0.37802255153656,1
374784,0.2058362960116938,1820.0,-1.6414560377597812e-08,-0.0001521636295365,0.1244382783770561,1
376832,0.0772859576507471,1830.0,-4.4115586206316947e-08,-0.0001582376497026,0.00142624869477,1
378880,0.3213889606762677,1840.0,-2.0489096641540527e-08,-0.0001590520747413,0.1395421624183654,1
380928,0.2466640877071768,1850.0,3.620516508817673e-09,-0.0001693095773589,0.0023272668477147,1
382976,0.0151955766486935,1860.0,-2.9220245778560642e-08,-0.0001719650779705,0.0025769402272999,1
385024,0.0628729054726136,1870.0,-4.758476279675961e-08,-0.0001785128515621,0.1357150971889495,1
387072,0.031134694940556,1880.0,-3.405672032386065e-07,-0.0001917625382702,0.0003961136098951,1
389120,0.1021804040705319,1890.0,-3.4342519938945767e-10,-0.0001964565499292,0.0012714163167402,1
391168,0.0026355199464887,1900.0,-1.2068776413798333e-07,-0.0002013555636949,0.0015065332408994,1
393216,0.2871850196905143,1910.0,-8.89529474079609e-08,-0.0002298088375027,0.4962371587753296,1
395264,0.0330664140183216,1920.0,-7.740163709968328e-08,-0.0002410403823887,0.0012013062369078,1
397312,0.0285474270436679,1930.0,-1.2526288628578184e-08,-0.000256865506526,0.0135559355840086,1
399360,0.0601429352140257,1940.0,5.553010851144791e-09,-0.0002840407643816,0.0006282085669226,1
401408,0.1929239117875113,1950.0,-3.01311956718564e-08,-0.0002945854877907,0.0002137404953828,1
403456,0.2124285109894117,1960.0,-1.1979136615991591e-08,-0.0003103760343947,0.0020392558071762,1
405504,0.0338348389657767,1970.0,-5.158392013981938e-07,-0.0003641731153038,0.0024023544974625,1
407552,0.4194497951073572,1980.0,-0.0008373800956178,-0.0002323986338524,0.1121039316058158,1
409600,0.0081493830672116,1990.0,-8.32369551062584e-10,-0.000188630401135,0.0010804855264723,1
411648,0.0246040566704323,2000.0,-4.9476511776447296e-08,-0.0002018258106545,0.000851375341881,1
413696,0.0515666956285713,2010.0,-5.590845830738545e-08,-0.0002063010821075,0.0035675333347171,1
415744,0.1607187204594083,2020.0,-6.979098543524742e-09,-0.0002068305377179,0.1003684997558593,1
417792,0.2967402929119999,2030.0,-1.1798692867159844e-08,-0.0002232128057585,0.1316022276878357,1
419840,0.0204241329693104,2040.0,-2.3093889467418194e-08,-0.0002241436861368,0.0029001620132476,1
421888,0.0257296363470231,2050.0,-2.4220207706093793e-08,-0.0002373570190684,0.0005895958165638,1
423936,0.4598008318716893,2060.0,-7.413618732243778e-08,-0.0002498370258763,0.4318510591983795,1
