time/total_timesteps,train/loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/entropy_loss,phase
589824,0.0755493715405464,9.255018085241317e-10,0.0946120453416369,2870.0,-0.0001054953414495,1
591872,0.0174568109214305,4.233152139931917e-09,0.0407157092355191,2880.0,-0.0001046298137225,1
593920,0.0041974131017923,-6.437039701268077e-09,0.0161232749273949,2890.0,-0.0001071831181434,1
595968,0.0013830695534124,2.703745849430561e-09,0.1478597769280895,2900.0,-0.0001114451964895,1
598016,0.0088843954727053,-4.656612873077393e-10,0.0159839945394196,2910.0,-0.0001110832472477,1
600064,0.0151681518182158,-7.878406904637813e-09,0.0198053547515883,2920.0,-0.0001118139432037,1
602112,0.0020799324847757,-1.7590355128049853e-08,0.0062620196496936,2930.0,-0.0001161237244559,1
604160,0.0008711350965313,-1.0849907994270323e-08,0.0176037135230217,2940.0,-0.0001199522996103,1
606208,0.0579340979456901,-5.093170329928398e-09,0.1204211630742065,2950.0,-0.000125547123207,1
608256,0.0045865108259022,-1.4557735994458198e-08,0.0119801430562802,2960.0,-0.0001242738331711,1
610304,0.0161518901586532,-3.457535058259964e-09,0.0959873237588908,2970.0,-0.0001246108249688,1
612352,0.0568252317607402,5.675246939063071e-10,0.1552546325270668,2980.0,-0.0001299462517636,1
614400,0.0242634955793619,2.64262780547142e-09,0.0298388441064162,2990.0,-0.0001296672871831,1
616448,0.0169347543269395,-2.9656803235411646e-09,0.0181988953298059,3000.0,-0.0001300853658904,1
618496,0.0027307469863444,1.9208528101444243e-10,0.0352586265820718,3010.0,-0.0001353894691419,1
620544,0.0168504454195499,-7.476774044334888e-09,0.0194674193338869,3020.0,-0.0001380848019834,1
622592,0.041161011904478,6.475602276623248e-10,0.0484958355125854,3030.0,-0.0001378181299514,1
624640,0.0049112467095255,3.748573362827301e-09,0.0112679998303065,3040.0,-0.0001419462620106,1
626688,0.1267680674791336,1.650187186896801e-08,0.1308864705322776,3050.0,-0.0001470219716793,1
628736,0.0176576264202594,9.121140465140342e-09,0.0159307980567973,3060.0,-0.0001475179751651,1
630784,0.0249766409397125,-4.461253411136567e-09,0.0452352931984933,3070.0,-0.0001476939285566,1
632832,0.0488202609121799,1.367880031466484e-09,0.0644124270082102,3080.0,-0.0001551557959828,1
634880,0.0419206954538822,-1.454027369618416e-08,0.0661047690897248,3090.0,-0.0001546548521218,1
636928,0.0409970358014106,4.391768015921116e-09,0.0876409530406817,3100.0,-0.0001552882264149,1
638976,0.0082611255347728,9.363429853692651e-09,0.0248500193974905,3110.0,-0.0001566094022564,1
641024,0.0089363036677241,3.4400727599859243e-09,0.0406184640829451,3120.0,-0.0001610360961421,1
643072,0.0284882467240095,-1.0841176845133305e-08,0.027492320265992,3130.0,-0.0001680918383499,1
645120,0.0011260509490966,4.202593117952347e-09,0.0169320723706732,3140.0,-0.0001709347528958,1
