time/total_timesteps,time/time_elapsed,rollout/success_rate,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_range,train/clip_fraction,train/value_loss,train/loss,train/learning_rate,train/policy_gradient_loss,phase,phase_learning_rate_start,phase_learning_rate_end
761856,3105,0.0,372,-1.012,245,256.0,0.0,-0.0001688134399955,3710.0,0.7594654560089111,0.2,0.0,0.0711349489625718,0.000432356406236,0.0001100479999999,1.6589183360338211e-09,1,0.0003,5e-05
763904,3113,0.0,373,-1.026,245,256.0,0.0,-0.0001683730890363,3720.0,0.4276255369186401,0.2,0.0,0.0322255908933584,0.0028905901126563,0.000109536,7.858034223318101e-10,1,0.0003,5e-05
765952,3121,0.0,374,-1.206,245,256.0,0.0,-0.000172476136322,3730.0,0.2530459761619568,0.2,0.0,0.0859909988110303,0.0040959133766591,0.0001090239999999,-8.61764419823885e-09,1,0.0003,5e-05
768000,3130,0.0,375,-1.2079999999999995,245,256.0,0.0,-0.0001758942220476,3740.0,0.2767653465270996,0.2,0.0,0.1454249850474298,0.0953304171562194,0.000108512,1.3230601325631142e-08,1,0.0003,5e-05
770048,3138,0.0,376,-1.1899999999999995,245,256.0,0.0,-0.0001732794107738,3750.0,0.9537310004234314,0.2,0.0,0.00689185792653,0.0001776735152816,0.000108,2.5494955480098723e-09,1,0.0003,5e-05
772096,3146,0.0,377,-1.156,245,256.0,0.0,-0.0001791348504411,3760.0,0.4656523466110229,0.2,0.0,0.0773396885699185,0.000615214346908,0.000107488,8.131610229611396e-09,1,0.0003,5e-05
774144,3154,0.0,378,-1.152,245,256.0,0.0,-0.0001774818943886,3770.0,0.4322510361671448,0.2,0.0,0.467804686317686,0.3429013192653656,0.0001069759999999,-6.984919309616089e-09,1,0.0003,5e-05
776192,3163,0.0,379,-0.9199999999999998,245,256.0,0.0,-0.0001719517402307,3780.0,0.5301457643508911,0.2,0.0,0.1678720334748504,0.0835058167576789,0.0001064639999999,-7.65139702707529e-09,1,0.0003,5e-05
778240,3171,0.0,380,-0.8240000000000001,245,256.0,0.0,-0.0001748185577525,3790.0,0.9580670595169068,0.2,0.0,0.0079468299394648,0.0021290043368935,0.0001059519999999,-1.1536758393049241e-08,1,0.0003,5e-05
780288,3179,0.0,381,-0.8660000000000001,245,256.0,0.0,-0.0001817246746213,3800.0,0.2325503826141357,0.2,0.0,0.1260801392258144,0.0032248119823634,0.0001054399999999,4.848698154091835e-09,1,0.0003,5e-05
782336,3187,0.0,382,-0.8219999999999998,245,256.0,0.0,-0.0001787087789125,3810.0,0.5995798110961914,0.2,0.0,0.1909565533554996,0.0985384956002235,0.000104928,1.920852810144424e-09,1,0.0003,5e-05
784384,3196,0.0,383,-0.8660000000000001,245,256.0,0.0,-0.0001810285482861,3820.0,0.586431622505188,0.2,0.0,0.0306608062533086,0.1123515963554382,0.0001044159999999,-1.5040859580039977e-08,1,0.0003,5e-05
786432,3204,0.0,384,-0.8660000000000001,245,256.0,0.0,-0.0001814936053051,3830.0,0.7771424055099487,0.2,0.0,0.033616122083913,0.0001770927774487,0.000103904,1.3154931366443635e-09,1,0.0003,5e-05
788480,3212,0.0,385,-0.868,245,256.0,0.0,-0.0001850991633546,3840.0,0.9268524646759032,0.2,0.0,0.0094335900561418,0.0044989115558564,0.0001033919999999,-5.2584800869226454e-08,1,0.0003,5e-05
790528,3221,0.0,386,-1.086,245,256.0,0.0,-0.0001879229457699,3850.0,0.2518009543418884,0.2,0.0,0.1329308301159471,0.0016156738856807,0.00010288,-2.4039763957262042e-08,1,0.0003,5e-05
792576,3229,0.0,387,-1.118,245,256.0,0.0,-0.000186838591253,3860.0,0.4187420010566711,0.2,0.0,0.2627175468602217,0.0742113664746284,0.0001023679999999,-1.4831312000751496e-08,1,0.0003,5e-05
794624,3237,0.0,388,-1.23,245,256.0,0.0,-0.0001820012266762,3870.0,0.5056053996086121,0.2,0.0,0.1941061868099495,0.023062465712428,0.000101856,-1.8914579413831233e-08,1,0.0003,5e-05
796672,3245,0.0,389,-1.7560000000000002,245,256.0,0.0,-0.0001893281807497,3880.0,0.1674065589904785,0.2,0.0,0.2584711062940187,0.0007872967980802,0.0001013439999999,-3.870809450745582e-09,1,0.0003,5e-05
798720,3254,0.0,390,-1.65,245,256.0,0.0,-0.0001896391069749,3890.0,0.0638134479522705,0.2,0.0,0.9001944625866599,0.349238634109497,0.0001008319999999,-1.0011717677116394e-09,1,0.0003,5e-05
800768,3262,0.0,391,-1.5520000000000005,245,256.0,0.0,-0.0001903794542158,3900.0,0.6196845769882202,0.2,0.0,0.2228984393761493,0.0835096687078476,0.0001003199999999,-5.646143108606337e-10,1,0.0003,5e-05
802816,3270,0.0,392,-1.7260000000000004,245,256.0,0.0,-0.0001870355570645,3910.0,0.9443591833114624,0.2,0.0,0.0066391316169756,0.0061492235399782,9.980799999999998e-05,5.378387868404389e-08,1,0.0003,5e-05
804864,3278,0.0,393,-1.5800000000000003,245,256.0,0.0,-0.0001892502903501,3920.0,0.5536379814147949,0.2,0.0,0.1215755610333872,0.0594138614833354,9.9296e-05,3.041350282728672e-09,1,0.0003,5e-05
806912,3286,0.0,394,-1.5740000000000005,245,256.0,0.0,-0.0001940372576427,3930.0,0.405342161655426,0.2,0.0,0.0322051824769005,0.0012291361344978,9.878399999999998e-05,1.7863931134343146e-08,1,0.0003,5e-05
808960,3295,0.0,395,-1.3940000000000003,245,256.0,0.0,-0.0001992993784369,3940.0,0.3810216188430786,0.2,0.0,0.0044408266021491,0.0019449080573394,9.8272e-05,1.9709113985300065e-08,1,0.0003,5e-05
811008,3303,0.0,396,-1.5600000000000005,245,256.0,0.0,-0.0002081847369481,3950.0,0.4865269660949707,0.2,0.0,0.0063604237499021,0.0020958804525434,9.776e-05,-9.388895705342292e-09,1,0.0003,5e-05
