time/total_timesteps,train/entropy_loss,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss,phase
352256,-5.195205212658038e-05,0.1220584476715885,0.0481397621333599,1710.0,-1.5948899090290067e-09,1
354304,-5.212109026615507e-05,0.1906913217186229,0.0182497352361679,1720.0,-6.8626832216978085e-09,1
356352,-5.28535541434394e-05,0.0210372084987284,0.0228115413337945,1730.0,5.6810677051544194e-09,1
358400,-5.304653382154356e-05,0.1686456236115191,0.0057791150175035,1740.0,-1.4726538211107252e-09,1
360448,-5.477142476593144e-05,0.1570293217548169,0.1632928848266601,1750.0,-1.5017576515674591e-09,1
362496,-5.758441348007182e-05,0.104515891812116,0.0218379274010658,1760.0,-9.895302355289461e-09,1
364544,-7.152996640797937e-05,0.0984082974420744,0.008155345916748,1770.0,-1.4470424503087995e-08,1
366592,-6.530514619953464e-05,0.4399186464841477,0.3194608390331268,1780.0,-1.327134668827057e-09,1
368640,-6.322847752926464e-05,0.1166973783794674,0.0044241501018404,1790.0,1.0884832590818403e-09,1
370688,-5.7072738172792015e-05,0.0157817968321978,0.0155822774395346,1800.0,-1.4711986295878889e-08,1
372736,-6.177456193654507e-05,0.0039591253067555,0.0020007968414574,1810.0,-1.0937219485640526e-08,1
374784,-5.809635908917699e-05,0.1165355400902626,0.0004903355729766,1820.0,7.505877874791622e-09,1
376832,-6.362028552757693e-05,0.0748828363924985,0.0195083357393741,1830.0,1.664739102125168e-09,1
378880,-6.534755975735606e-05,0.0572057669429341,0.0022824250627309,1840.0,-2.2843596525490283e-08,1
380928,-5.802350469821249e-05,0.0365289144534472,0.0190025810152292,1850.0,9.778887033462523e-10,1
382976,-5.82549668251886e-05,0.3562261803657748,0.00717841880396,1860.0,-2.310844138264656e-09,1
385024,-6.750536722393008e-05,0.0467750186347984,0.0261105801910161,1870.0,-3.387685865163803e-09,1
387072,-5.9126021324118486e-05,0.0399811495470203,0.0247169975191354,1880.0,-1.327134668827057e-09,1
389120,-5.933203306085488e-05,0.1231920449950848,0.0093090152367949,1890.0,2.0256265997886656e-09,1
391168,-5.993264276185073e-05,0.0964418960589682,0.0075857220217585,1900.0,-2.852175384759903e-09,1
393216,-6.088801851547032e-05,0.0479651889727392,0.0168077982962131,1910.0,4.016328603029251e-10,1
395264,-6.208956601767568e-05,0.2449687289539724,0.1528818607330322,1920.0,-2.176966518163681e-09,1
397312,-6.21289052105567e-05,0.0869533315300941,0.0093268817290663,1930.0,-6.170012056827545e-09,1
399360,-7.37123444196186e-05,0.1388848987757228,0.002925501903519,1940.0,-3.201421350240707e-10,1
401408,-6.818380652475752e-05,0.04754759100324,0.0547144226729869,1950.0,-2.4592736735939983e-08,1
403456,-6.773425229766872e-05,0.0974279052054043,0.0096874833106994,1960.0,-2.4389009922742843e-09,1
405504,-6.8198843018763e-05,0.2869333059992641,0.1055215746164321,1970.0,-1.204898580908775e-09,1
407552,-7.587637828692096e-05,0.0718955142598133,0.0550186336040496,1980.0,-1.3475073501467705e-08,1
409600,-7.061737860567519e-05,0.0937429956160485,0.0144574902951717,1990.0,-7.799826562404633e-09,1
411648,-8.084457604127238e-05,0.0614559714740607,0.06647789478302,2000.0,1.1996598914265632e-08,1
413696,-7.471287208318244e-05,0.0949368134617543,0.005092813167721,2010.0,1.1059455573558807e-09,1
415744,-7.590544555569068e-05,0.2239280517678707,0.2419900000095367,2020.0,5.203764885663986e-09,1
417792,-7.819096754246857e-05,0.2374174049880821,0.0609813816845417,2030.0,-2.6833731681108476e-09,1
419840,-7.832382652850356e-05,0.1372501383186318,0.0235217548906803,2040.0,-6.705522537231445e-09,1
421888,-8.970119142759359e-05,0.1109153380544739,0.0684945508837699,2050.0,-2.0174775272607805e-08,1
423936,-9.92983467767772e-05,0.0722300541456206,0.0457081384956836,2060.0,-1.0049552656710149e-07,1
